name,len
patrycy,7
patryk,6
paula,5
paulin,6
paulina,7
paweł,5
pelagia,7
pelagiusz,9
perpetua,8
petronela,9
petronia,8
petroniusz,10
pęcisław,8
pęcisława,9
pękosław,8
pia,3
pimen,5
piotr,5
pius,4
placyd,6
placydia,8
platon,6
pola,4
polikarp,8
pompejusz,9
porfirion,9
potencjana,10
prakseda,8
priam,5
probus,6
prochor,7
prokop,6
prosimir,8
prosper,7
prot,4
protazy,7
prudencjusz,11
pryska,6
przecław,8
przecława,9
przedbor,8
przedpełk,9
przedwoj,8
przemił,7
przemysł,8
przemysław,10
przesław,8
przybyczest,11
przybygniew,11
przybymir,9
przybyrad,9
przybysław,10
przybysława,11
przybywoj,9
pudecjanna,10
pudens,6
pulcheria,9
racibor,7
racimir,7
racisław,8
radek,5
radociech,9
radogost,8
radomił,7
radomiła,8
radomir,7
radomysł,8
radosław,8
radosława,9
radowid,7
radowit,7
radzim,6
radzimierz,10
radzimir,8
radzisław,9
radzisława,10
radziwoj,8
rafael,6
rafaela,7
rafał,5
rainer,6
raissa,6
rajmund,7
rajmunda,8
rajnold,7
ramon,5
ramona,6
rebeka,6
redogort,8
regina,6
reinhold,8
remigiusz,9
rena,4
renat,5
renata,6
rita,4
robert,6
roberta,7
roch,4
roderyk,7
rodryg,6
rodryk,6
roger,5
roksana,7
roland,6
roma,4
roman,5
romana,6
romeo,5
romuald,7
ronald,6
rościgniew,10
rościmir,8
rościsław,9
rościsława,10
rozalia,7
rozanna,7
rozyna,6
róża,4
rudolf,6
rudolfa,7
rudolfina,9
rufin,5
rufina,6
rufus,5
rupert,6
ruprecht,8
ruta,4
rygobert,8
ryszard,7
ryszarda,8
saba,4
sabin,5
sabina,6
salome,6
salomea,7
salomon,7
salwator,8
salwin,6
sambor,6
samson,6
samuel,6
samuela,7
sandra,6
sara,4
saturnin,8
saturnina,9
sawa,4
sawin,5
sądomir,7
sądosław,8
scholastyka,11
sebald,6
sebastian,9
sebastiana,10
selma,5
serafin,7
serafina,8
sergiusz,8
serwacy,7
sewer,5
sewera,6
sewerian,8
seweryn,7
seweryna,8
sądzimir,8
sędzisław,9
sędzisława,10
sędziwoj,8
sieciech,8
sieciesław,10
sieciesława,11
siemiodrog,10
siemirad,8
siemisław,9
siemomysł,9
siemowit,8
sierosław,9
sierosława,10
siestrzemił,11
siestrzewit,11
skarbimierz,11
skarbimir,9
sława,5
sławobor,8
sławoj,6
sławomir,8
sławomira,9
sławosz,7
sobiesąd,8
sobiesław,9
sobiesława,10
sofia,5
sofroniusz,10
sonia,5
soter,5
sozant,6
spirydion,9
spycigniew,10
spycimir,8
spycisław,9
stanimir,8
stanisław,9
stanisława,10
stefan,6
stefania,8
stella,6
stojgniew,9
stojmir,7
stojsław,8
stosław,7
stronisław,10
stronisława,11
strzeżymir,10
strzeżysław,11
strzeżysława,12
strzeżywoj,10
sulibor,7
sulimiera,9
sulimierz,9
sulimir,7
sulirad,7
sulisław,8
sulisława,9
suliwoj,7
sulpicjusz,10
swetłana,8
sybilla,7
sydonia,7
sykstus,7
sylwan,6
sylwana,7
sylweriusz,10
sylwery,7
sylwester,9
sylwia,6
sylwin,6
sylwiusz,8
symeon,6
symforiana,10
symplicjusz,11
szarlota,8
szczepan,8
szczęsna,8
szczęsny,8
szeliga,7
szwieciech,10
szymon,6
szymoneta,9
ścibor,6
ścibora,7
światozar,9
świeciech,9
święcimir,9
świętobor,9
świętochna,10
świętomir,9
świętomira,10
świętopełk,10
świętosław,10
świętosława,11
tacjana,7
tacjanna,8
tacjusz,7
tadeusz,7
taida,5
tamara,6
taras,5
tatiana,7
tekla,5
telesfor,8
telimena,8
telisława,9
teobald,7
teodor,6
teodora,7
teodoryka,9
teodozja,8
teodozjusz,10
teofil,6
teofila,7
terencjusz,10
teresa,6
tezeusz,7
tęgomir,7
tobiasz,7
toligniew,9
tolimir,7
tolisław,8
tolisława,9
toma,4
tomasz,6
tomił,5
tomir,5
tomira,6
tomisław,8
tomisława,9
torpet,6
toska,5
tristan,7
trofim,6
trzebimir,9
trzebisław,10
trzebisława,11
trzebomysł,10
trzebowit,9
twardosław,10
tworzymir,9
tworzysław,10
tworzysława,11
tyberiusz,9
tyburcjusz,10
tycjan,6
tymon,5
tymoteusz,9
tytus,5
ubald,5
ubysław,7
ulrych,6
ulryk,5
ulryka,6
uniedrog,8
uniegost,8
uniemysł,8
uniewit,7
unimir,6
unisław,7
urban,5
ursyn,5
urszula,7
violetta,8
wacław,6
wacława,7
wadim,5
waldemar,8
walenty,7
walentyn,8
walentyna,9
waleria,7
walerian,8
waleriana,9
waleriusz,9
walery,6
walter,6
wanda,5
warcisław,9
warwara,7
wasyl,5
wawrzyniec,10
wenancjusz,10
wendelin,8
wenesa,6
wera,4
werner,6
weronika,8
wespazjan,9
wiaczesław,10
wielisław,9
wielisława,10
wieńczysław,11
wiera,5
wierzchosław,12
wierzchosława,13
wiesław,7
wiesława,8
więcemił,8
więcemiła,9
więcemir,8
więcerad,8
więcesław,9
więcesława,10
wiktor,6
wiktoria,8
wiktorian,9
wiktoriusz,10
